,City,country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
138,bredasdorp,ZA,-34.5322,20.0403,55.4,94,98,1.14,1619489805
139,tuktoyaktuk,CA,69.4541,-133.0374,12.2,73,1,16.11,1619489917
140,san angelo,US,31.4638,-100.437,75.99,59,100,5.01,1619490438
141,ust-tsilma,RU,65.441,52.1498,37.27,98,100,4.14,1619490438
142,bontang,ID,0.1333,117.5,83.75,71,6,0.92,1619490398
143,emba,KZ,48.8264,58.1442,58.87,50,36,9.64,1619489918
144,chokurdakh,RU,70.6333,147.9167,26.71,83,97,2.28,1619489901
145,komsomolskiy,UZ,40.4272,71.7189,68.0,37,0,6.91,1619490439
146,soyo,AO,-6.1349,12.3689,79.05,90,100,6.49,1619490440
147,iquique,CL,-20.2208,-70.1431,62.6,77,0,4.61,1619490440
148,sao joao da barra,BR,-21.6403,-41.0511,72.99,93,16,9.78,1619489919
149,naco,MX,31.3347,-109.9483,68.0,22,1,13.8,1619490440
150,along,IN,28.1667,94.7667,81.37,37,82,1.48,1619490441
151,medea,DZ,36.2642,2.7539,57.2,88,40,5.75,1619490146
152,port macquarie,AU,-31.4333,152.9167,73.0,61,1,3.0,1619490441
153,mar del plata,AR,-38.0023,-57.5575,57.0,93,0,1.57,1619489875
154,castro,BR,-24.7911,-50.0119,56.34,91,2,3.02,1619489897
155,khomutovo,RU,52.4658,104.4025,39.2,81,40,13.42,1619490442
156,isangel,VU,-19.55,169.2667,82.4,65,40,9.22,1619489920
157,husavik,IS,66.0449,-17.3389,26.6,93,0,5.75,1619490442
158,derzhavinsk,KZ,51.1,66.3167,55.76,59,100,7.36,1619490443
159,geraldton,AU,-28.7667,114.6,78.8,29,25,5.75,1619489920
160,porto nacional,BR,-10.7081,-48.4172,75.2,100,0,3.44,1619490443
161,lompoc,US,34.6391,-120.4579,53.6,71,0,14.97,1619489628
162,pangoa,PE,-12.1167,-73.0,65.03,99,77,0.76,1619490444
163,ancud,CL,-41.8697,-73.8203,55.99,100,90,10.36,1619489921
164,marrakesh,MA,31.6315,-8.0083,60.8,72,75,5.75,1619490444
165,codrington,AU,-38.2667,141.9667,61.75,59,93,3.71,1619489921
166,tochio,JP,37.4667,139.0,63.0,35,8,1.01,1619490445
167,celestun,MX,20.8667,-90.4,81.09,75,0,15.52,1619489922
168,pevek,RU,69.7008,170.3133,26.06,93,100,4.14,1619489922
169,tiksi,RU,71.6872,128.8694,16.81,86,100,10.85,1619489923
170,victoria,HK,22.2855,114.1577,75.0,87,100,1.01,1619489826
171,riberalta,BO,-10.9833,-66.1,72.46,87,100,2.46,1619490446
172,lloydminster,CA,53.2835,-110.0016,46.4,36,75,11.5,1619490446
173,lagoa,PT,39.05,-27.9833,59.27,89,100,13.69,1619490447
174,rupert,US,42.6191,-113.6772,44.6,57,90,5.75,1619490447
175,riyadh,SA,24.6877,46.7219,75.2,22,0,9.31,1619489628
176,esna,EG,25.2934,32.554,69.8,46,0,4.61,1619489924
177,pacific grove,US,36.6177,-121.9166,55.4,62,40,12.66,1619489773
178,sarangani,PH,5.4033,125.4636,82.63,70,100,4.74,1619490448
179,saskylakh,RU,71.9167,114.0833,11.41,89,28,4.83,1619489925
180,hilo,US,19.7297,-155.09,78.8,61,40,9.22,1619489925
181,villagarzon,CO,1.0375,-76.6267,73.33,94,100,2.98,1619490448
182,rokytne,UA,51.2796,27.214,28.83,84,36,5.19,1619490449
183,klaksvik,FO,62.2266,-6.589,37.4,81,75,17.27,1619489925
184,east london,ZA,-33.0153,27.9116,67.96,77,82,7.05,1619489660
185,svetlogorsk,BY,52.6333,29.7333,29.08,87,57,6.31,1619489926
186,butaritari,KI,3.0707,172.7902,82.6,76,76,10.85,1619489926
187,saldanha,ZA,-33.0117,17.9442,60.8,94,10,5.75,1619489926
188,tabuk,PH,17.4189,121.4443,80.42,66,99,1.68,1619489927
189,cidreira,BR,-30.1811,-50.2056,62.22,78,1,9.6,1619489927
190,margate,GB,51.3813,1.3862,43.0,81,100,8.75,1619489927
191,nago,JP,26.5881,127.9761,75.2,53,40,14.97,1619490450
192,naryan-mar,RU,67.6713,53.087,34.43,98,100,8.81,1619490450
193,sundsvall,SE,62.3913,17.3063,26.6,86,20,5.75,1619490451
194,kasongo-lunda,CD,-6.4667,16.8167,69.76,96,100,1.23,1619490451
195,dicabisagan,PH,17.0818,122.4157,76.75,77,95,6.8,1619490451
196,zhigansk,RU,66.7697,123.3711,17.55,84,100,15.48,1619489928
197,bandarbeyla,SO,9.4942,50.8122,82.27,73,57,5.23,1619489929
198,walvis bay,NA,-22.9575,14.5053,61.0,94,42,4.61,1619490452
199,maragogi,BR,-9.0122,-35.2225,77.4,82,58,6.35,1619490239
200,grootfontein,NA,-19.5667,18.1167,58.28,45,1,2.77,1619490452
201,airai,TL,-8.9266,125.4092,72.41,39,48,1.97,1619489862
202,esmeraldas,BR,-19.7625,-44.3139,73.4,78,0,2.3,1619490453
203,avarua,CK,-21.2078,-159.775,82.4,69,75,3.44,1619489812
204,waipawa,NZ,-41.4122,175.5153,55.0,66,75,20.71,1619490453
205,faya,SA,18.3851,42.4509,57.2,82,0,2.53,1619489930
206,kaeo,NZ,-35.1,173.7833,70.0,62,78,1.99,1619490454
207,lorengau,PG,-2.0226,147.2712,85.62,67,29,3.13,1619489930
208,hun,LY,29.1268,15.9477,69.03,29,6,8.77,1619489931
209,tinskoy,RU,56.1525,96.9161,36.84,98,100,2.37,1619490455
210,coahuayana,MX,18.7333,-103.6833,74.01,75,100,2.08,1619489931
211,lasa,IT,46.6166,10.7002,52.0,100,90,4.61,1619490455
212,matagami,CA,49.7502,-77.6328,28.4,80,1,3.44,1619490455
213,chimoio,MZ,-19.1164,33.4833,66.2,100,75,1.97,1619490456
214,paamiut,GL,61.994,-49.6678,34.7,88,9,3.11,1619489932
215,loa janan,ID,-0.583,117.095,82.2,86,42,1.48,1619490456
216,richards bay,ZA,-28.783,32.0377,65.17,92,99,6.2,1619490456
217,sao raimundo das mangabeiras,BR,-7.0219,-45.4811,73.02,90,89,1.63,1619490457
218,trelew,AR,-43.249,-65.3051,62.8,37,59,4.12,1619490457
219,monrovia,LR,6.3005,-10.7969,79.88,83,51,5.3,1619489932
220,souillac,MU,-20.5167,57.5167,77.0,88,75,8.05,1619489933
221,pangnirtung,CA,66.1451,-65.7125,34.03,97,100,3.47,1619490457
222,meulaboh,ID,4.1363,96.1285,80.4,81,97,3.09,1619489933
223,liwale,TZ,-9.7667,37.9333,66.7,99,96,2.75,1619490458
224,agadir,MA,30.4202,-9.5982,59.0,94,20,3.44,1619490458
225,ponta delgada,PT,37.7333,-25.6667,59.0,82,75,9.22,1619490458
226,port hedland,AU,-20.3167,118.5667,89.6,13,0,17.27,1619490459
227,kutum,SD,14.2,24.6667,72.36,14,99,9.91,1619490459
228,pisco,PE,-13.7,-76.2167,64.99,88,0,9.22,1619489934
229,severo-kurilsk,RU,50.6789,156.125,32.18,98,100,16.98,1619489935
230,puerto lopez,CO,4.0845,-72.956,77.2,86,100,4.99,1619490460
231,poum,NC,-20.2333,164.0167,76.89,68,35,21.65,1619489935
232,acajutla,SV,13.5928,-89.8275,73.0,100,16,1.99,1619490460
233,port hawkesbury,CA,45.6169,-61.3485,43.0,93,90,2.3,1619490461
234,tasiilaq,GL,65.6145,-37.6368,41.0,60,40,7.74,1619489918
235,lavrentiya,RU,65.5833,-171.0,33.28,92,10,0.6,1619490461
236,naze,JP,28.3667,129.4833,73.4,53,20,10.36,1619489936
237,cherskiy,RU,68.75,161.3,25.21,76,51,6.58,1619489936
238,alta floresta,BR,-9.8756,-56.0861,73.4,100,0,2.3,1619489936
239,yamada,JP,39.4667,141.95,54.36,38,0,9.48,1619490462
240,havelock,US,34.8791,-76.9013,62.01,88,1,5.12,1619489937
241,katsuura,JP,35.1333,140.3,63.0,58,20,4.61,1619490462
242,ankazoabo,MG,-22.2833,44.5167,66.97,87,6,3.74,1619490463
243,gigmoto,PH,13.7796,124.39,78.93,79,100,10.29,1619490463
244,cam ranh,VN,11.9214,109.1591,87.8,66,20,6.91,1619490463
245,mustasaari,FI,63.1142,21.6822,34.0,93,0,1.14,1619490464
246,mishan,CN,45.55,131.8833,60.6,42,95,8.16,1619490464
247,dayong,CN,25.0209,118.2898,68.0,88,90,4.47,1619490464
248,provideniya,RU,64.3833,-173.3,39.2,65,0,5.28,1619489938
249,srivardhan,IN,18.0333,73.0167,82.42,77,18,1.1,1619489938
250,pameungpeuk,ID,-7.0183,107.6039,78.01,69,66,3.0,1619490465
251,araouane,ML,18.9048,-3.5265,87.93,14,22,10.65,1619490465
252,brokopondo,SR,4.75,-55.1667,75.2,93,100,7.61,1619490466
253,kudahuvadhoo,MV,2.6708,72.8944,82.62,73,73,5.39,1619489939
254,nara,JP,34.6851,135.8049,66.2,34,75,4.61,1619490466
255,hambantota,LK,6.1241,81.1185,82.4,94,20,2.3,1619490203
256,peniche,PT,39.3558,-9.3811,57.99,93,96,1.01,1619490466
257,barquisimeto,VE,10.0739,-69.3228,75.2,88,93,9.22,1619490467
258,poli,TZ,-3.3333,36.8,60.22,95,98,3.85,1619490467
259,okmulgee,US,35.6234,-95.9605,73.4,53,1,12.66,1619490467
260,bulgan,MN,48.8125,103.5347,39.42,35,4,15.48,1619490468
261,ugoofaaru,MV,5.6667,73.0,83.66,71,94,7.2,1619490468
262,kapuskasing,CA,49.4169,-82.4331,41.0,38,100,5.75,1619490469
263,guaymas,MX,27.9333,-110.9,73.4,64,75,14.97,1619490469
264,tepanguare,HN,14.3333,-87.75,80.6,61,75,6.91,1619490469
265,lishui,CN,28.4604,119.9103,63.05,84,100,0.58,1619490470
266,dumas,US,35.8656,-101.9732,75.99,11,1,16.11,1619490470
267,mayya,RU,61.7333,130.2811,35.6,80,75,4.47,1619489941
268,labuhan,ID,-6.8844,112.2051,82.67,74,33,6.26,1619489942
269,sola,VU,-13.8833,167.55,81.34,75,89,10.02,1619490471
270,talnakh,RU,69.4865,88.3972,16.59,78,62,10.31,1619489942
271,goderich,CA,43.7501,-81.7165,44.6,53,100,9.22,1619489922
272,marzuq,YE,14.4,46.4667,71.13,60,97,1.5,1619489942
273,new norfolk,AU,-42.7826,147.0587,64.99,72,19,1.99,1619489943
274,matiri,TZ,-10.75,34.9,61.65,94,99,3.51,1619490472
275,santana do ipanema,BR,-9.3783,-37.2453,71.35,94,24,5.26,1619490472
276,chuy,UY,-33.6971,-53.4616,53.47,81,0,7.38,1619489943
277,khatanga,RU,71.9667,102.5,23.34,91,100,18.14,1619489796
278,tessalit,ML,20.1986,1.0114,86.52,9,35,7.76,1619490472
279,puerto escondido,MX,15.85,-97.0667,82.2,76,25,5.88,1619490473
280,ayan,RU,56.45,138.1667,31.35,89,100,8.34,1619490473
281,angoram,PG,-4.0625,144.0661,89.6,61,61,0.83,1619490474
282,salinopolis,BR,-0.6136,-47.3561,78.98,84,97,7.56,1619490474
283,kavaratti,IN,10.5669,72.642,84.42,72,7,7.56,1619489944
284,monteria,CO,8.748,-75.8814,79.7,83,100,7.58,1619490475
285,farakka,IN,24.8167,87.9,93.11,9,51,5.95,1619490475
